trader_name,ticker,transaction_type,transaction_date,shares,value,price,company,role,filing_date,source,section,x,owned,δown,1d,1w,1m,6m,page,scraped_at
Horn Howard,RARE,S - Sale,2025-10-13,-7942,"-$250,252",$31.51,Ultragenyx Pharmaceutical Inc.,CFO,2025-10-14 12:15:06,openinsider,ceo_sales_100k,,98227,-7%,,,,,1,2025-10-14T11-58-19Z
Burnison Gary D,KFY,S - Sale,2025-10-09,-16864,"-$1,180,635",$70.01,Korn Ferry,CEO,2025-10-10 19:53:14,openinsider,ceo_sales_100k,,198442,-8%,,,,,1,2025-10-14T11-58-19Z
McFarlane Neil F.,ZVRA,S - Sale+OE,2025-10-10,-19500,"-$210,908",$10.82,"Zevra Therapeutics, Inc.","Pres, CEO",2025-10-10 19:17:35,openinsider,ceo_sales_100k,D,222016,-8%,,,,,1,2025-10-14T11-58-19Z
Benioff Marc,CRM,S - Sale+OE,2025-10-09,-2250,"-$547,344",$243.26,"Salesforce, Inc.","Chair, CEO",2025-10-10 19:14:10,openinsider,ceo_sales_100k,D,22018571,0%,,,,,1,2025-10-14T11-58-19Z
Sanders Elaine,TMQ,S - Sale+OE,2025-10-08,-449599,"-$3,077,243",$6.84,Trilogy Metals Inc.,"VP, CFO",2025-10-10 18:59:09,openinsider,ceo_sales_100k,D,3149561,-12%,,,,,1,2025-10-14T11-58-19Z
Simpson Curran,RGNX,S - Sale,2025-10-09,-20811,"-$262,635",$12.62,Regenxbio Inc.,CEO,2025-10-10 18:38:07,openinsider,ceo_sales_100k,,216162,-9%,,,,,1,2025-10-14T11-58-19Z
Janac K Charles,AIP,S - Sale,2025-10-08,-50000,"-$653,710",$13.07,"Arteris, Inc.","Pres, CEO, 10%",2025-10-10 18:27:56,openinsider,ceo_sales_100k,,9907082,-1%,,,,,1,2025-10-14T11-58-19Z
Watson David Hibbert,AGX,S - Sale,2025-10-09,-5000,"-$1,382,400",$276.48,Argan Inc,"Pres, CEO",2025-10-10 18:25:22,openinsider,ceo_sales_100k,,47132,-10%,,,,,1,2025-10-14T11-58-19Z
Huang Jen Hsun,NVDA,S - Sale,2025-10-08,-225000,"-$42,885,101",$190.60,Nvidia Corp,"Pres, CEO",2025-10-10 18:21:17,openinsider,ceo_sales_100k,M,852808603,0%,,,,,1,2025-10-14T11-58-19Z
Garcia Ernest C. III,CVNA,S - Sale,2025-10-09,-2880,"-$1,022,938",$355.19,Carvana Co.,"CEO, 10%",2025-10-10 18:19:25,openinsider,ceo_sales_100k,,1720696,0%,,,,,1,2025-10-14T11-58-19Z
Garcia Ernest C. III,CVNA,S - Sale,2025-10-08,-10000,"-$3,656,041",$365.60,Carvana Co.,"CEO, 10%",2025-10-10 18:17:32,openinsider,ceo_sales_100k,,1723576,-1%,,,,,1,2025-10-14T11-58-19Z
Krzanich Brian M,CRNC,S - Sale,2025-10-09,-132075,"-$1,513,381",$11.46,Cerence Inc.,CEO,2025-10-10 18:16:09,openinsider,ceo_sales_100k,,905987,-13%,,,,,1,2025-10-14T11-58-19Z
Gibson Christopher,RXRX,S - Sale+OE,2025-10-10,-100000,"-$604,000",$6.04,"Recursion Pharmaceuticals, Inc.",CEO,2025-10-10 18:03:11,openinsider,ceo_sales_100k,D,954229,-9%,,,,,1,2025-10-14T11-58-19Z
Burke James A,VST,S - Sale+OE,2025-10-08,-40961,"-$8,381,573",$204.62,Vistra Corp.,"Pres, CEO",2025-10-10 17:56:24,openinsider,ceo_sales_100k,DM,1005141,-4%,,,,,1,2025-10-14T11-58-19Z
Mohajer Keyvan,SOUN,S - Sale,2025-10-08,-118654,"-$2,373,365",$20.00,"Soundhound Ai, Inc.","CEO, 10%",2025-10-10 17:50:12,openinsider,ceo_sales_100k,,2342613,-5%,,,,,1,2025-10-14T11-58-19Z
Schwartz Richard Todd,RSI,S - Sale,2025-10-08,-193905,"-$3,586,274",$18.50,"Rush Street Interactive, Inc.",CEO,2025-10-10 17:47:01,openinsider,ceo_sales_100k,M,574147,-25%,,,,,1,2025-10-14T11-58-19Z
Cannon-Brookes Michael,TEAM,S - Sale,2025-10-10,-7665,"-$1,117,949",$145.85,Atlassian Corp,"CEO, Co-Founder, 10%",2025-10-10 17:45:54,openinsider,ceo_sales_100k,,429240,-2%,,,,,1,2025-10-14T11-58-19Z
Kumar Neil,BBIO,S - Sale,2025-10-08,-80000,"-$4,383,442",$54.79,"Bridgebio Pharma, Inc.",CEO,2025-10-10 17:40:12,openinsider,ceo_sales_100k,M,5697223,-1%,,,,,1,2025-10-14T11-58-19Z
Whalen Amanda,KVYO,S - Sale+OE,2025-10-10,-15000,"-$375,381",$25.03,"Klaviyo, Inc.",CFO,2025-10-10 17:36:15,openinsider,ceo_sales_100k,D,481719,-3%,,,,,1,2025-10-14T11-58-19Z
Khattar Jack A.,SUPN,S - Sale+OE,2025-10-09,-59900,"-$3,029,336",$50.57,"Supernus Pharmaceuticals, Inc.","Pres, CEO",2025-10-10 17:33:23,openinsider,ceo_sales_100k,D,2212178,-3%,,,,,1,2025-10-14T11-58-19Z
Wirth James F,IHT,S - Sale,2025-10-09,-12500,"-$256,250,000","$20,500.00",Innsuites Hospitality Trust,"Pres, CEO, 10%",2025-10-10 17:27:03,openinsider,ceo_sales_100k,,6181796,0%,,,,,1,2025-10-14T11-58-19Z
Hyep Ivan,BCAX,S - Sale+OE,2025-10-09,-6415,"-$116,931",$18.23,Bicara Therapeutics Inc.,CFO,2025-10-10 17:22:56,openinsider,ceo_sales_100k,D,145355,-4%,,,,,1,2025-10-14T11-58-19Z
Kargieman Emiliano,SATL,S - Sale,2025-10-08,-402303,"-$1,641,615",$4.08,Satellogic Inc.,"CEO, 10%",2025-10-10 17:18:21,openinsider,ceo_sales_100k,M,1617643,-20%,,,,,1,2025-10-14T11-58-19Z
Grae Seth,LTBR,S - Sale+OE,2025-10-10,-7616,"-$196,797",$25.84,Lightbridge Corp,"Pres, CEO",2025-10-10 17:13:51,openinsider,ceo_sales_100k,D,753316,-1%,,,,,1,2025-10-14T11-58-19Z
