ticker,transaction_type,transaction_date,shares,value,price,company,filing_date,source,section,x,industry,ins,owned,δown,1d,1w,1m,6m,page,scraped_at
ZBIO,P - Purchase,2025-10-09,470402,"+$9,028,137",$19.19,"Zenas Biopharma, Inc.",2025-10-14 08:59:40,openinsider,cluster_buys,,Pharmaceutical Preparations,3,6803336,+7%,,,,,1,2025-10-14T11-58-10Z
LAW,P - Purchase,2025-10-07,84668,"+$478,979",$5.66,"Cs Disco, Inc.",2025-10-09 16:54:04,openinsider,cluster_buys,M,Prepackaged Software,3,1506977,+6%,,,,,1,2025-10-14T11-58-10Z
CBK,P - Purchase,2025-10-03,8332,"+$199,968",$24.00,"Commercial Bancgroup, Inc.",2025-10-09 16:14:26,openinsider,cluster_buys,,State Commercial Banks,2,29895,+39%,,,,,1,2025-10-14T11-58-10Z
ADC,P - Purchase,2025-10-03,34642,"+$2,450,338",$70.73,Agree Realty Corp,2025-10-09 16:05:06,openinsider,cluster_buys,,Real Estate Investment Trusts,4,1281155,+3%,,,,,1,2025-10-14T11-58-10Z
CPSH,P - Purchase,2025-10-08,59833,"+$179,499",$3.00,Cps Technologies Corp/De/,2025-10-09 15:26:54,openinsider,cluster_buys,,Pottery & Related Products,3,523694,+13%,,,,,1,2025-10-14T11-58-10Z
FDS,P - Purchase,2025-10-06,708,"+$201,929",$285.21,Factset Research Systems Inc,2025-10-08 16:28:08,openinsider,cluster_buys,,"Computer Programming, Data Processing, Etc.",2,12730,+6%,,,,,1,2025-10-14T11-58-10Z
MSDL,P - Purchase,2025-10-06,80987,"+$1,423,940",$17.58,Morgan Stanley Direct Lending Fund,2025-10-08 14:34:03,openinsider,cluster_buys,,Closed-End Funds,7,233019,+53%,,,,,1,2025-10-14T11-58-10Z
YCY,P - Purchase,2025-10-02,668000,"+$6,680,000",$10.00,Aa Mission Acquisition Corp. II,2025-10-06 19:23:58,openinsider,cluster_buys,D,Blank Checks,2,6418000,+12%,,,,,1,2025-10-14T11-58-10Z
MKZR,P - Purchase,2025-10-02,707603,"+$3,298,283",$4.66,"Mackenzie Realty Capital, Inc.",2025-10-06 15:56:22,openinsider,cluster_buys,M,Real Estate Investment Trusts,6,845368,+514%,,,,,1,2025-10-14T11-58-10Z
KYN,P - Purchase,2025-09-22,62500,"+$765,553",$12.25,"Kayne Anderson Energy Infrastructure Fund, Inc.",2025-10-06 15:37:20,openinsider,cluster_buys,,Closed-End Funds,3,855207,+8%,,,,,1,2025-10-14T11-58-10Z
EPSN,P - Purchase,2025-09-30,37500,"+$203,260",$5.42,Epsilon Energy Ltd.,2025-10-02 12:34:34,openinsider,cluster_buys,M,Crude Petroleum & Natural Gas,2,926285,+4%,,,,,1,2025-10-14T11-58-10Z
PHXE.,P - Purchase,2025-09-29,18000,"+$360,000",$20.00,"Phoenix Energy One, LLC",2025-10-01 16:10:12,openinsider,cluster_buys,,Crude Petroleum & Natural Gas,4,18000,%,,,,,1,2025-10-14T11-58-10Z
MSIF,P - Purchase,2025-09-25,18935,"+$258,124",$13.63,"Msc Income Fund, Inc.",2025-09-30 16:30:09,openinsider,cluster_buys,M,Closed-End Funds,5,160150,+13%,,,,,1,2025-10-14T11-58-10Z
OPEN,P - Purchase,2025-09-26,781879,"+$5,128,336",$6.56,Opendoor Technologies Inc.,2025-09-30 16:06:59,openinsider,cluster_buys,,Real Estate Agents & Managers (For Others),2,6230636,+14%,,,,,1,2025-10-14T11-58-10Z
COO,P - Purchase,2025-09-05,17975,"+$1,216,346",$67.67,"Cooper Companies, Inc.",2025-09-29 20:36:52,openinsider,cluster_buys,,Ophthalmic Goods,5,436956,+4%,,,,,1,2025-10-14T11-58-10Z
DX,P - Purchase,2025-09-26,8460,"+$102,688",$12.14,Dynex Capital Inc,2025-09-29 16:05:25,openinsider,cluster_buys,,Real Estate Investment Trusts,2,528195,+2%,,,,,1,2025-10-14T11-58-10Z
PGEN,P - Purchase,2025-09-25,26216,"+$109,016",$4.16,"Precigen, Inc.",2025-09-26 17:01:54,openinsider,cluster_buys,M,Pharmaceutical Preparations,2,686467,+4%,,,,,1,2025-10-14T11-58-10Z
NEXT,P - Purchase,2025-09-18,2254850,"+$15,951,996",$7.07,Nextdecade Corp,2025-09-25 20:00:19,openinsider,cluster_buys,M,Natural Gas Transmission & Distribution,5,52166365,+5%,,,,,1,2025-10-14T11-58-10Z
STRR,P - Purchase,2025-09-23,64852,"+$684,668",$10.56,"Star Equity Holdings, Inc.",2025-09-25 16:46:37,openinsider,cluster_buys,M,Help Supply Services,2,1822153,+4%,,,,,1,2025-10-14T11-58-10Z
MRVL,P - Purchase,2025-09-25,27200,"+$2,109,632",$77.56,"Marvell Technology, Inc.",2025-09-25 11:25:59,openinsider,cluster_buys,,Semiconductors & Related Devices,4,579013,+5%,,,,,1,2025-10-14T11-58-10Z
AVBC,P - Purchase,2025-09-18,170410,"+$2,503,172",$14.69,"Avidia Bancorp, Inc.",2025-09-19 16:28:29,openinsider,cluster_buys,M,"Savings Institutions, Not Federally Chartered",8,192985,+755%,,,,,1,2025-10-14T11-58-10Z
NMFC,P - Purchase,2025-09-16,182441,"+$1,808,453",$9.91,New Mountain Finance Corp,2025-09-18 16:30:16,openinsider,cluster_buys,,Closed-End Funds,3,10742150,+2%,,,,,1,2025-10-14T11-58-10Z
WSBC,P - Purchase,2025-09-17,56000,"+$1,400,000",$25.00,Wesbanco Inc,2025-09-18 15:22:34,openinsider,cluster_buys,,National Commercial Banks,11,56000,%,,,,,1,2025-10-14T11-58-10Z
