trader_name,ticker,transaction_type,transaction_date,shares,value,price,company,role,filing_date,source,section,x,owned,δown,1d,1w,1m,6m,page,scraped_at
Glenbrook Capital Management,SNES,P - Purchase,2026-04-28,3000,"+$4,407",$1.47,"Senestech, Inc.",10%,2026-04-30 19:19:04,openinsider,latest_purchases,,893635,0%,,,,,1,2026-05-01T08-00-32Z
Assured Guaranty Ltd,BDC,P - Purchase,2026-04-30,242718,"+$6,000,000",$24.72,"Sound Point Meridian Capital, Inc.",10%,2026-04-30 19:15:52,openinsider,latest_purchases,,1002718,+32%,,,,,1,2026-05-01T08-00-32Z
Griffin Stephen D.,ANIK,P - Purchase,2026-04-30,12200,"+$149,881",$12.29,"Anika Therapeutics, Inc.","Pres, CEO",2026-04-30 17:22:40,openinsider,latest_purchases,,36163,+51%,,,,,1,2026-05-01T08-00-32Z
Brown Jeffrey J,UPBD,P - Purchase,2026-04-28,2329,"+$45,206",$19.41,"Upbound Group, Inc.",Dir,2026-04-30 17:08:44,openinsider,latest_purchases,D,118239,+2%,,,,,1,2026-05-01T08-00-32Z
Warnock Jacob Aaron,IBATF,P - Purchase,2026-04-29,34315465,"+$2,745,237",$0.08,International Battery Metals Ltd.,"Dir, 10%",2026-04-30 17:00:04,openinsider,latest_purchases,D,143641569,+31%,,,,,1,2026-05-01T08-00-32Z
Ng George K,PCSA,P - Purchase,2026-04-15,1843,"+$5,474",$2.97,"Processa Pharmaceuticals, Inc.",CEO,2026-04-30 16:33:51,openinsider,latest_purchases,A,8267,+29%,,,,,1,2026-05-01T08-00-32Z
Ng George K,PCSA,P - Purchase,2026-03-31,2136,"+$5,415",$2.54,"Processa Pharmaceuticals, Inc.",CEO,2026-04-30 16:32:54,openinsider,latest_purchases,A,6424,+50%,,,,,1,2026-05-01T08-00-32Z
Hrt Financial LP,FCHL,P - Purchase,2026-04-28,239692,"+$35,714",$0.15,Fitness Champs Holdings Ltd,10%,2026-04-30 16:26:23,openinsider,latest_purchases,,420917,+132%,,,,,1,2026-05-01T08-00-32Z
Jimenez Frank R,GEHC,P - Purchase,2026-04-30,1750,"+$105,788",$60.45,Ge Healthcare Technologies Inc.,"GC, Corporate Secretary",2026-04-30 16:21:03,openinsider,latest_purchases,,93932,+2%,,,,,1,2026-05-01T08-00-32Z
Arduini Peter J,GEHC,P - Purchase,2026-04-30,4169,"+$249,827",$59.93,Ge Healthcare Technologies Inc.,"Pres, CEO",2026-04-30 16:20:03,openinsider,latest_purchases,,259424,+2%,,,,,1,2026-05-01T08-00-32Z
Patel Paresh,XZO,P - Purchase,2026-04-29,2000,"+$32,440",$16.22,"Exzeo Group, Inc.",CEO,2026-04-30 16:15:11,openinsider,latest_purchases,D,1634013,0%,,,,,1,2026-05-01T08-00-32Z
McCaffery John Martin Jr,NWFL,P - Purchase,2026-04-30,1000,"+$29,440",$29.44,Norwood Financial Corp,"EVP, CFO",2026-04-30 16:13:40,openinsider,latest_purchases,,9504,+12%,,,,,1,2026-05-01T08-00-32Z
Donnelly James O,NWFL,P - Purchase,2026-04-29,100,"+$2,906",$29.06,Norwood Financial Corp,"Pres, CEO",2026-04-30 16:13:04,openinsider,latest_purchases,,28557,0%,,,,,1,2026-05-01T08-00-32Z
Tsakos Nikolaos,TEN,P - Purchase,2026-04-28,25000,"+$998,341",$39.93,Tsakos Energy Navigation Ltd,CEO,2026-04-30 16:05:07,openinsider,latest_purchases,M,5073802,0%,,,,,1,2026-05-01T08-00-32Z
Cassabaum Michelle R,ATLO,P - Purchase,2026-04-30,84,"+$2,359",$28.08,Ames National Corp,Dir,2026-04-30 16:02:48,openinsider,latest_purchases,,9818,+1%,,,,,1,2026-05-01T08-00-32Z
Chevallier Andres Campos,BWMX,P - Purchase,2026-04-28,10000,"+$168,062",$16.81,"Betterware De Mexico, S.A.P.I. De C.V",CEO,2026-04-30 16:01:12,openinsider,latest_purchases,,230000,+5%,,,,,1,2026-05-01T08-00-32Z
Lerner Neil,CMPX,P - Purchase,2026-04-29,15000,"+$28,350",$1.89,"Compass Therapeutics, Inc.",CHIEF ACCOUNTING OFFICER,2026-04-30 16:00:48,openinsider,latest_purchases,A,397500,+4%,,,,,1,2026-05-01T08-00-32Z
Anderman Jonathan,CMPX,P - Purchase,2026-04-29,25000,"+$47,250",$1.89,"Compass Therapeutics, Inc.",GC,2026-04-30 16:00:25,openinsider,latest_purchases,A,196000,+15%,,,,,1,2026-05-01T08-00-32Z
Pantilione Vito S,PKBK,P - Purchase,2026-04-28,1300,"+$39,486",$30.37,"Parke Bancorp, Inc.","Pres, CEO",2026-04-30 15:43:22,openinsider,latest_purchases,D,317294,0%,,,,,1,2026-05-01T08-00-32Z
Hrt Financial LP,GMEX,P - Purchase,2026-04-28,135198,"+$47,725",$0.35,Gmex Robotics Corp,10%,2026-04-30 15:29:58,openinsider,latest_purchases,,0,-100%,,,,,1,2026-05-01T08-00-32Z
Black Wade Newton,SBMT,P - Purchase,2026-04-30,500,"+$5,375",$10.75,Silver Bow Mining Corp.,CFO,2026-04-30 14:50:54,openinsider,latest_purchases,,25000,+2%,,,,,1,2026-05-01T08-00-32Z
Robinson Joseph R,WSBC,P - Purchase,2026-04-27,1000,"+$34,512",$34.51,Wesbanco Inc,Dir,2026-04-30 14:35:21,openinsider,latest_purchases,A,19068,+6%,,,,,1,2026-05-01T08-00-32Z
Lee Chong Kuang,GRNQ,P - Purchase,2026-04-28,107310,"+$250,000",$2.33,Greenpro Capital Corp.,"CEO, 10%",2026-04-30 14:27:10,openinsider,latest_purchases,,2012259,+6%,,,,,1,2026-05-01T08-00-32Z
Warriner Kenneth Thomas,MRBK,P - Purchase,2026-04-30,1000,"+$18,415",$18.42,Meridian Corp,Dir,2026-04-30 14:18:04,openinsider,latest_purchases,,2000,+100%,,,,,1,2026-05-01T08-00-32Z
Conn Walton T Jr.,AUBN,P - Purchase,2026-04-30,350,"+$8,363",$23.90,"Auburn National Bancorporation, Inc",Dir,2026-04-30 14:02:18,openinsider,latest_purchases,,3181,+12%,,,,,1,2026-05-01T08-00-32Z
Leonard Daniel J,OVLY,P - Purchase,2026-04-29,375,"+$12,375",$33.00,Oak Valley Bancorp,Dir,2026-04-30 13:57:55,openinsider,latest_purchases,,62598,+1%,,,,,1,2026-05-01T08-00-32Z
Klingerman Brian D,CCFN,P - Purchase,2026-04-29,1000,"+$73,500",$73.50,Muncy Columbia Financial Corp,Dir,2026-04-30 13:52:05,openinsider,latest_purchases,,10613,+10%,,,,,1,2026-05-01T08-00-32Z
Lydon Thomas F Jr,GOF,P - Purchase,2026-04-30,8710,"+$99,730",$11.45,Guggenheim Strategic Opportunities Fund,Trustee,2026-04-30 13:39:59,openinsider,latest_purchases,,8710,New,,,,,1,2026-05-01T08-00-32Z
Karmelek Nicolas,AVBC,P - Purchase,2026-04-28,1220,"+$25,327",$20.76,"Avidia Bancorp, Inc.","EVP, CRO",2026-04-30 13:33:37,openinsider,latest_purchases,,30672,+4%,,,,,1,2026-05-01T08-00-32Z
Jensen Barry H,AVBC,P - Purchase,2026-04-29,1000,"+$20,300",$20.30,"Avidia Bancorp, Inc.","EVP, Chief Admin Officer",2026-04-30 13:06:02,openinsider,latest_purchases,,41196,+2%,,,,,1,2026-05-01T08-00-32Z
Horizon Kinetics Asset Management LLC,TPL,P - Purchase,2026-04-29,1,+$436,$435.76,Texas Pacific Land Corp,10%,2026-04-30 10:51:17,openinsider,latest_purchases,,3435507,0%,,,,,1,2026-05-01T08-00-32Z
Duffey Gregory A,FRAF,P - Purchase,2026-04-29,18,+$996,$55.35,Franklin Financial Services Corp /Pa/,Dir,2026-04-30 09:46:04,openinsider,latest_purchases,,23723,0%,,,,,1,2026-05-01T08-00-32Z
Arima Anastasios,IPX,P - Purchase,2026-04-28,110000,"+$493,625",$4.49,Iperionx Ltd,CEO,2026-04-30 07:38:30,openinsider,latest_purchases,D,13055358,+1%,,,,,1,2026-05-01T08-00-32Z
Lu Jiayan,AIJTY,P - Purchase,2026-04-29,4384,"+$3,942",$0.90,Jianpu Technology Inc.,"Dir, 10%",2026-04-30 06:41:55,openinsider,latest_purchases,,29529309,0%,,,,,1,2026-05-01T08-00-32Z
Hannigan Todd,IPX,P - Purchase,2026-04-28,480000,"+$2,077,784",$4.33,Iperionx Ltd,Exec COB,2026-04-29 21:51:04,openinsider,latest_purchases,DM,26562798,+2%,,,,,1,2026-05-01T08-00-32Z
Xu Jiandong,ESLA,P - Purchase,2025-09-11,2100,"+$2,594",$1.24,"Estrella Immunopharma, Inc.",CFO,2026-04-29 21:36:42,openinsider,latest_purchases,M,282188,+1%,,,,,1,2026-05-01T08-00-32Z
Frangou Angeliki,NMM,P - Purchase,2026-04-27,3489,"+$250,303",$71.74,Navios Maritime Partners L.P.,"See Remarks, 10%",2026-04-29 21:10:03,openinsider,latest_purchases,M,5699226,0%,,,,,1,2026-05-01T08-00-32Z
Altman Peter,BCDA,P - Purchase,2026-04-29,5000,"+$5,550",$1.11,"Biocardia, Inc.","Pres, CEO",2026-04-29 19:40:40,openinsider,latest_purchases,,280766,+2%,,,,,1,2026-05-01T08-00-32Z
Moulder Leon O Jr,ZBIO,P - Purchase,2026-04-28,60000,"+$1,067,200",$17.79,"Zenas Biopharma, Inc.",CEO,2026-04-29 19:21:02,openinsider,latest_purchases,M,2246122,+3%,,,,,1,2026-05-01T08-00-32Z
Rollins James D III,HBAN,P - Purchase,2026-04-27,11500,"+$216,335",$18.81,Huntington Bancshares Inc /Md/,Dir,2026-04-29 18:53:11,openinsider,latest_purchases,M,21000,+121%,,,,,1,2026-05-01T08-00-32Z
Ivascyn Daniel J,PDX,P - Purchase,2026-04-27,28779,"+$592,401",$20.58,Pimco Dynamic Income Strategy Fund,See Remarks,2026-04-29 18:34:24,openinsider,latest_purchases,,2198038,+1%,,,,,1,2026-05-01T08-00-32Z
Swetman Chevis,PFBX,P - Purchase,2026-04-29,2500,"+$53,750",$21.50,Peoples Financial Corp /Ms/,"CEO, Pres, 10%",2026-04-29 18:19:28,openinsider,latest_purchases,,427713,+1%,,,,,1,2026-05-01T08-00-32Z
Klein Michael Stuart,CXIIU,P - Purchase,2026-04-29,350000,"+$3,500,000",$10.00,Churchill Capital Corp Xii,"See Remarks, 10%",2026-04-29 16:50:07,openinsider,latest_purchases,,350000,New,,,,,1,2026-05-01T08-00-32Z
Canup Edward G,CBAN,P - Purchase,2026-04-24,2000,"+$39,770",$19.89,Colony Bankcorp Inc,CHIEF BANKING OFFICER,2026-04-29 16:46:22,openinsider,latest_purchases,M,39461,+5%,,,,,1,2026-05-01T08-00-32Z
McLaughlin Shawn Patrick,BHRB,P - Purchase,2026-04-29,1000,"+$63,548",$63.55,Burke & Herbert Financial Services Corp.,Dir,2026-04-29 16:38:58,openinsider,latest_purchases,,70000,+1%,,,,,1,2026-05-01T08-00-32Z
Wallace Michael J Wallace,XE,P - Purchase,2026-04-27,1000,"+$23,000",$23.00,"X-Energy, Inc.",Dir,2026-04-29 16:22:22,openinsider,latest_purchases,,77683,+1%,,,,,1,2026-05-01T08-00-32Z
Dyer Joseph Wendell,EFOR,P - Purchase,2026-04-29,1112,"+$24,992",$22.47,Everforth Inc,Dir,2026-04-29 16:20:54,openinsider,latest_purchases,,19953,+6%,,,,,1,2026-05-01T08-00-32Z
Hyle Kathleen W,XE,P - Purchase,2026-04-27,10000,"+$230,000",$23.00,"X-Energy, Inc.",Dir,2026-04-29 16:19:05,openinsider,latest_purchases,,134162,+8%,,,,,1,2026-05-01T08-00-32Z
Duling Joel,XE,P - Purchase,2026-04-27,100,"+$2,300",$23.00,"X-Energy, Inc.","Pres, TRISO-X",2026-04-29 16:17:02,openinsider,latest_purchases,,552699,0%,,,,,1,2026-05-01T08-00-32Z
Davis Wade,CHTR,P - Purchase,2026-04-28,5728,"+$995,068",$173.72,"Charter Communications, Inc. /Mo/",Dir,2026-04-29 16:16:24,openinsider,latest_purchases,,6925,+479%,,,,,1,2026-05-01T08-00-32Z
Garcia Laura,XE,P - Purchase,2026-04-27,1200,"+$27,600",$23.00,"X-Energy, Inc.",Chief Accounting Officer,2026-04-29 16:16:05,openinsider,latest_purchases,,196822,+1%,,,,,1,2026-05-01T08-00-32Z
Patel Paresh,XZO,P - Purchase,2026-04-28,2000,"+$33,360",$16.68,"Exzeo Group, Inc.",CEO,2026-04-29 16:15:11,openinsider,latest_purchases,D,1632013,0%,,,,,1,2026-05-01T08-00-32Z
Walker Brian C,HBNC,P - Purchase,2026-04-28,1306,"+$23,978",$18.36,Horizon Bancorp Inc /In/,Dir,2026-04-29 16:10:54,openinsider,latest_purchases,,6830,+24%,,,,,1,2026-05-01T08-00-32Z
Samuel Olivier,NCEL,P - Purchase,2026-04-27,81818,"+$225,000",$2.75,Newcelx Ltd.,Dir,2026-04-29 16:05:32,openinsider,latest_purchases,D,81818,New,,,,,1,2026-05-01T08-00-32Z
Revel Michel,NCEL,P - Purchase,2026-04-27,54545,"+$149,999",$2.75,Newcelx Ltd.,"CSO, Dir, 10%",2026-04-29 16:05:15,openinsider,latest_purchases,D,957530,+6%,,,,,1,2026-05-01T08-00-32Z
Murphy Michael Dennis,AVBC,P - Purchase,2026-04-28,1850,"+$38,739",$20.94,"Avidia Bancorp, Inc.",Chairman of the Board,2026-04-29 15:28:47,openinsider,latest_purchases,,78080,+2%,,,,,1,2026-05-01T08-00-32Z
Agassi Andre K,AASP,P - Purchase,2026-04-28,50000,"+$250,000",$5.00,Agassi Sports Entertainment Corp.,10%,2026-04-29 15:26:23,openinsider,latest_purchases,,2291398,+2%,,,,,1,2026-05-01T08-00-32Z
Doane Thomas,AVBC,P - Purchase,2026-04-28,2040,"+$43,166",$21.16,"Avidia Bancorp, Inc.",EVP- HR,2026-04-29 15:25:12,openinsider,latest_purchases,,18732,+12%,,,,,1,2026-05-01T08-00-32Z
Harrell James A. III,SON,P - Purchase,2026-04-27,6753,"+$340,183",$50.37,Sonoco Products Co,Pres Global Ind. Paper Pkg.,2026-04-29 13:14:14,openinsider,latest_purchases,,70026,+11%,,,,,1,2026-05-01T08-00-32Z
