trader_name,ticker,transaction_type,transaction_date,shares,value,price,company,role,filing_date,source,section,x,owned,δown,1d,1w,1m,6m,page,scraped_at
Warnock Jacob Aaron,IBATF,P - Purchase,2026-04-29,34315465,"+$2,745,237",$0.08,International Battery Metals Ltd.,"Dir, 10%",2026-04-30 17:00:04,openinsider,penny_buys,D,143641569,+31%,,,,,1,2026-05-01T08-03-29Z
Hrt Financial LP,FCHL,P - Purchase,2026-04-28,239692,"+$35,714",$0.15,Fitness Champs Holdings Ltd,10%,2026-04-30 16:26:23,openinsider,penny_buys,,420917,+132%,,,,,1,2026-05-01T08-03-29Z
Lerner Neil,CMPX,P - Purchase,2026-04-29,15000,"+$28,350",$1.89,"Compass Therapeutics, Inc.",CHIEF ACCOUNTING OFFICER,2026-04-30 16:00:48,openinsider,penny_buys,A,397500,+4%,,,,,1,2026-05-01T08-03-29Z
Anderman Jonathan,CMPX,P - Purchase,2026-04-29,25000,"+$47,250",$1.89,"Compass Therapeutics, Inc.",GC,2026-04-30 16:00:25,openinsider,penny_buys,A,196000,+15%,,,,,1,2026-05-01T08-03-29Z
Hrt Financial LP,GMEX,P - Purchase,2026-04-28,135198,"+$47,725",$0.35,Gmex Robotics Corp,10%,2026-04-30 15:29:58,openinsider,penny_buys,,0,-100%,,,,,1,2026-05-01T08-03-29Z
Lee Chong Kuang,GRNQ,P - Purchase,2026-04-28,107310,"+$250,000",$2.33,Greenpro Capital Corp.,"CEO, 10%",2026-04-30 14:27:10,openinsider,penny_buys,,2012259,+6%,,,,,1,2026-05-01T08-03-29Z
Arima Anastasios,IPX,P - Purchase,2026-04-28,110000,"+$493,625",$4.49,Iperionx Ltd,CEO,2026-04-30 07:38:30,openinsider,penny_buys,D,13055358,+1%,,,,,1,2026-05-01T08-03-29Z
Hannigan Todd,IPX,P - Purchase,2026-04-28,480000,"+$2,077,784",$4.33,Iperionx Ltd,Exec COB,2026-04-29 21:51:04,openinsider,penny_buys,DM,26562798,+2%,,,,,1,2026-05-01T08-03-29Z
Samuel Olivier,NCEL,P - Purchase,2026-04-27,81818,"+$225,000",$2.75,Newcelx Ltd.,Dir,2026-04-29 16:05:32,openinsider,penny_buys,D,81818,New,,,,,1,2026-05-01T08-03-29Z
Revel Michel,NCEL,P - Purchase,2026-04-27,54545,"+$149,999",$2.75,Newcelx Ltd.,"CSO, Dir, 10%",2026-04-29 16:05:15,openinsider,penny_buys,D,957530,+6%,,,,,1,2026-05-01T08-03-29Z
Agassi Andre K,AASP,P - Purchase,2026-04-28,50000,"+$250,000",$5.00,Agassi Sports Entertainment Corp.,10%,2026-04-29 15:26:23,openinsider,penny_buys,,2291398,+2%,,,,,1,2026-05-01T08-03-29Z
Orbimed Advisors LLC,TRAW,P - Purchase,2026-04-16,597729,"+$998,207",$1.67,"Traws Pharma, Inc.",10%,2026-04-28 21:41:49,openinsider,penny_buys,D,1203250,+99%,,,,,1,2026-05-01T08-03-29Z
Heshmatpour Amir F,NTHI,P - Purchase,2026-04-28,10000,"+$45,180",$4.52,"Neonc Technologies Holdings, Inc.","Pres, 10%",2026-04-28 18:00:05,openinsider,penny_buys,,7582140,0%,,,,,1,2026-05-01T08-03-29Z
Hong Zhifang,DKI,P - Purchase,2026-04-24,1428571,"+$500,000",$0.35,Darkiris Inc.,"CEO, 10%",2026-04-28 16:30:16,openinsider,penny_buys,,6878171,+26%,,,,,1,2026-05-01T08-03-29Z
Hrt Financial LP,GMEX,P - Purchase,2026-04-24,182636,"+$96,072",$0.53,Gmex Robotics Corp,10%,2026-04-28 16:10:08,openinsider,penny_buys,M,253917,+256%,,,,,1,2026-05-01T08-03-29Z
Hagler Mark Arnold,NBP,P - Purchase,2026-04-24,230000,"+$577,300",$2.51,Novabridge Biosciences,See Remarks,2026-04-28 16:05:04,openinsider,penny_buys,,230000,New,,,,,1,2026-05-01T08-03-29Z
"Blue & Silver Ventures, Ltd.",GAME,P - Purchase,2026-04-22,2234364,"+$1,324,436",$0.59,"Gamesquare Holdings, Inc.",See Footnote (1),2026-04-27 21:56:16,openinsider,penny_buys,M,3861736,+137%,,,,,1,2026-05-01T08-03-29Z
"Broadwood Partners, L.P.",IMDX,P - Purchase,2026-04-23,570184,"+$2,032,251",$3.56,Insight Molecular Diagnostics Inc.,10%,2026-04-27 19:08:17,openinsider,penny_buys,DM,25369925,+2%,,,,,1,2026-05-01T08-03-29Z
Purcell Michael J.,HEPA,P - Purchase,2026-04-21,1250000,"+$50,000",$0.04,"Hepion Pharmaceuticals, Inc.",Dir,2026-04-27 17:33:08,openinsider,penny_buys,,1250000,New,,,,,1,2026-05-01T08-03-29Z
Wenshan Xie,EJH,P - Purchase,2026-04-23,192000,"+$240,000",$1.25,E-Home Household Service Holdings Ltd,"COB, CEO, 10%",2026-04-27 16:30:02,openinsider,penny_buys,,744295,+35%,,,,,1,2026-05-01T08-03-29Z
Sport City Cadiz S.L.,NOMA,P - Purchase,2025-12-29,38175,"+$152,663",$4.00,Nomadar Corp.,10%,2026-04-27 16:05:34,openinsider,penny_buys,M,7822557,0%,,,,,1,2026-05-01T08-03-29Z
Sport City Cadiz S.L.,NOMA,P - Purchase,2026-02-17,26000,"+$128,417",$4.94,Nomadar Corp.,10%,2026-04-27 16:05:32,openinsider,penny_buys,M,7848557,0%,,,,,1,2026-05-01T08-03-29Z
Lopriore Vincent S,HEPA,P - Purchase,2026-04-21,6250000,"+$250,000",$0.04,"Hepion Pharmaceuticals, Inc.","Exec COB, 10%",2026-04-27 06:24:56,openinsider,penny_buys,,11250000,+125%,,,,,1,2026-05-01T08-03-29Z
