trader_name,ticker,transaction_type,transaction_date,shares,value,price,company,role,filing_date,source,section,x,owned,δown,1d,1w,1m,6m,page,scraped_at
Huang Jack Jiajia,COE,P - Purchase,2026-03-26,1740240,"+$35,332,457",$20.30,51Talk Online Education Group,"CEO, 10%",2026-04-13 08:31:25,openinsider,top_officer_month,DM,74700800,+2%,,,,,1,2026-05-01T08-03-46Z
Panagiotidis Petros Panagiotis,TORO,P - Purchase,2026-04-22,2315971,"+$14,254,646",$6.15,Toro Corp.,CEO,2026-04-24 18:34:43,openinsider,top_officer_month,M,20822206,+13%,,,,,1,2026-05-01T08-03-46Z
Bertolini Mark T,OSCR,P - Purchase,2026-04-06,1000000,"+$11,920,000",$11.92,"Oscar Health, Inc.",CEO,2026-04-07 16:16:39,openinsider,top_officer_month,D,10196876,+11%,,,,,1,2026-05-01T08-03-46Z
Huang Jack Jiajia,COE,P - Purchase,2026-04-13,384960,"+$9,557,599",$24.83,51Talk Online Education Group,"CEO, 10%",2026-04-22 16:03:21,openinsider,top_officer_month,M,75085760,+1%,,,,,1,2026-05-01T08-03-46Z
Klein Michael Stuart,CXIIU,P - Purchase,2026-04-29,350000,"+$3,500,000",$10.00,Churchill Capital Corp Xii,"See Remarks, 10%",2026-04-29 16:50:07,openinsider,top_officer_month,,350000,New,,,,,1,2026-05-01T08-03-46Z
Wagner Daniel Maurice,RZLV,P - Purchase,2026-04-02,812956,"+$3,251,824",$4.00,Rezolve Ai Plc,"CEO, 10%",2026-04-23 16:30:03,openinsider,top_officer_month,,52483622,+2%,,,,,1,2026-05-01T08-03-46Z
Allison John W,HOMB,P - Purchase,2026-04-17,100000,"+$2,696,210",$26.96,Home Bancshares Inc,"COB, CEO",2026-04-20 11:59:34,openinsider,top_officer_month,,7197008,+1%,,,,,1,2026-05-01T08-03-46Z
Hannigan Todd,IPX,P - Purchase,2026-04-28,480000,"+$2,077,784",$4.33,Iperionx Ltd,Exec COB,2026-04-29 21:51:04,openinsider,top_officer_month,DM,26562798,+2%,,,,,1,2026-05-01T08-03-46Z
Ward Tom L.,MNR,P - Purchase,2026-04-13,153256,"+$1,999,991",$13.05,Mach Natural Resources LP,"See Remarks, 10%",2026-04-13 17:02:34,openinsider,top_officer_month,,28008676,+1%,,,,,1,2026-05-01T08-03-46Z
Roth Jason Aaron,ARXS,P - Purchase,2026-04-17,60000,"+$1,680,000",$28.00,"Arxis, Inc.",See Remarks,2026-04-20 20:59:51,openinsider,top_officer_month,,395515,+18%,,,,,1,2026-05-01T08-03-46Z
Perhamus Kevin Scott,ARXS,P - Purchase,2026-04-17,53600,"+$1,500,800",$28.00,"Arxis, Inc.",See Remarks,2026-04-20 21:04:15,openinsider,top_officer_month,,3573133,+2%,,,,,1,2026-05-01T08-03-46Z
Winfrey Christopher L,CHTR,P - Purchase,2026-04-28,6936,"+$1,194,621",$172.24,"Charter Communications, Inc. /Mo/","Pres, CEO",2026-04-28 16:16:50,openinsider,top_officer_month,,225436,+3%,,,,,1,2026-05-01T08-03-46Z
Moulder Leon O Jr,ZBIO,P - Purchase,2026-04-28,60000,"+$1,067,200",$17.79,"Zenas Biopharma, Inc.",CEO,2026-04-29 19:21:02,openinsider,top_officer_month,M,2246122,+3%,,,,,1,2026-05-01T08-03-46Z
Badakhsh Azad Sid,ARXS,P - Purchase,2026-04-17,36000,"+$1,008,000",$28.00,"Arxis, Inc.",See Remarks,2026-04-20 21:12:01,openinsider,top_officer_month,,403864,+10%,,,,,1,2026-05-01T08-03-46Z
Hill Elliott,NKE,P - Purchase,2026-04-13,23660,"+$1,000,118",$42.27,"Nike, Inc.","Pres, CEO",2026-04-22 16:57:24,openinsider,top_officer_month,A,265247,+10%,,,,,1,2026-05-01T08-03-46Z
McGee Thomas W.,HMH,P - Purchase,2026-04-02,50000,"+$1,000,000",$20.00,Hmh Holding Inc,CFO,2026-04-06 14:44:40,openinsider,top_officer_month,,147338,+51%,,,,,1,2026-05-01T08-03-46Z
