trader_name,ticker,transaction_type,transaction_date,shares,price,filing_date,source,section,page,scraped_at
Osaka Glenn,-,Purchase,"Oct 10, 2025",13,$14.88,"Oct. 14, 2025, 12:35 p.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
"Saba Capital Management, L.P.",AFB,Sale,"Oct 09, 2025",2509,$10.9,"Oct. 14, 2025, 12:29 p.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
"Saba Capital Management, L.P.",NQP,Sale,"Oct 13, 2025",40105,$12.12,"Oct. 14, 2025, 12:23 p.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Horn Howard  Chief Financial Officer,RARE,Sale,"Oct 13, 2025",7942,$31.51,"Oct. 14, 2025, 12:15 p.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
"Saba Capital Management, L.P.",ASA,Purchase,"Oct 10, 2025",25883,$47.06,"Oct. 14, 2025, 11:55 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
"Saba Capital Management, L.P.",ASA,Purchase,"Oct 13, 2025",8437,$49.02,"Oct. 14, 2025, 11:55 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
"Saba Capital Management, L.P.",ASA,Purchase,"Oct 09, 2025",40943,$47.39,"Oct. 14, 2025, 11:55 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Vahedi Vahid  Senior Vice President,LRCX,Sale,"Oct 13, 2025",52190,$138.9,"Oct. 14, 2025, 11:40 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Staloch Alison  Treasurer,-,Purchase,"Oct 10, 2025",7,$11.86,"Oct. 14, 2025, 11:38 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Wren Chris  VP of Operations,PLNH,Sale,"Oct 09, 2025",30000,$0.24,"Oct. 14, 2025, 11:31 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Agdern Robert D,EMO,Purchase,"Oct 13, 2025",385,$42.11,"Oct. 14, 2025, 11:21 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
HENNESSY DANIEL J,INV,Sale,"Oct 09, 2025",10828,$5.21,"Oct. 14, 2025, 11:13 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
"Saba Capital Management, L.P.",ECAT,Sale,"Oct 10, 2025",26858,$16.59,"Oct. 14, 2025, 11:02 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
"Saba Capital Management, L.P.",ECAT,Sale,"Oct 13, 2025",19408,$16.58,"Oct. 14, 2025, 11:02 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
"Saba Capital Management, L.P.",ECAT,Sale,"Oct 09, 2025",13647,$16.62,"Oct. 14, 2025, 11:02 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Schremser Christopher L.  Chief Technology Officer,WAY,Sale,"Oct 10, 2025",8623,$36.21,"Oct. 14, 2025, 10:40 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
HORIZON KINETICS ASSET MANAGEMENT LLC,TPL,Purchase,"Oct 13, 2025",1,$898.51,"Oct. 14, 2025, 10:32 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
HORIZON KINETICS ASSET MANAGEMENT LLC,TPL,Purchase,"Oct 10, 2025",1,$887.41,"Oct. 14, 2025, 10:32 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
STAHL MURRAY  President/Co-Portfolio Manager,RCG,Purchase,"Oct 13, 2025",180,$2.62,"Oct. 14, 2025, 10:13 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
STAHL MURRAY  President/Co-Portfolio Manager,RCG,Purchase,"Oct 10, 2025",296,$2.62,"Oct. 14, 2025, 10:13 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
STAHL MURRAY  President/Co-Portfolio Manager,RCG,Purchase,"Oct 10, 2025",18,$2.62,"Oct. 14, 2025, 10:13 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
STAHL MURRAY  President/Co-Portfolio Manager,RCG,Purchase,"Oct 10, 2025",82,$2.62,"Oct. 14, 2025, 10:13 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
STAHL MURRAY  President/Co-Portfolio Manager,RCG,Purchase,"Oct 10, 2025",18,$2.62,"Oct. 14, 2025, 10:13 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
STAHL MURRAY  President/Co-Portfolio Manager,RCG,Purchase,"Oct 13, 2025",84,$2.62,"Oct. 14, 2025, 10:13 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
STAHL MURRAY  President/Co-Portfolio Manager,RCG,Purchase,"Oct 13, 2025",314,$2.62,"Oct. 14, 2025, 10:13 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
STAHL MURRAY  President/Co-Portfolio Manager,RCG,Purchase,"Oct 10, 2025",180,$2.62,"Oct. 14, 2025, 10:13 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
STAHL MURRAY  President/Co-Portfolio Manager,RCG,Purchase,"Oct 10, 2025",360,$2.62,"Oct. 14, 2025, 10:13 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
STAHL MURRAY  President/Co-Portfolio Manager,RCG,Purchase,"Oct 10, 2025",180,$2.62,"Oct. 14, 2025, 10:13 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
STAHL MURRAY  President/Co-Portfolio Manager,RCG,Purchase,"Oct 13, 2025",180,$2.62,"Oct. 14, 2025, 10:13 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
STAHL MURRAY  President/Co-Portfolio Manager,RCG,Purchase,"Oct 13, 2025",364,$2.62,"Oct. 14, 2025, 10:13 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
STAHL MURRAY  President/Co-Portfolio Manager,RCG,Purchase,"Oct 13, 2025",18,$2.62,"Oct. 14, 2025, 10:13 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
STAHL MURRAY  President/Co-Portfolio Manager,RCG,Purchase,"Oct 13, 2025",18,$2.62,"Oct. 14, 2025, 10:13 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
KADLEC THOMAS R,FMY,Purchase,"Oct 10, 2025",242,$12.2,"Oct. 14, 2025, 9:32 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Booth Richard Whitaker,-,Purchase,"Oct 10, 2025",12,$11.86,"Oct. 14, 2025, 9:24 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
Booth Richard Whitaker,-,Purchase,"Oct 10, 2025",1,$10.01,"Oct. 14, 2025, 9:14 a.m.",quiver,insider_trading,1,2025-10-14T11-57-42Z
