trader_name,source,section,rank,est. % return,# of holdings,est. stock aum (usd),page,scraped_at
"Founders Fund V Management, LLC",quiver,institutional_13f,1,+345.09%,3,"$5,104,387",1,2025-10-14T11-57-48Z
"BIOS Capital Management, LP",quiver,institutional_13f,2,+333.09%,3,"$16,167,009",1,2025-10-14T11-57-48Z
TAKEDA PHARMACEUTICAL CO LTD,quiver,institutional_13f,3,+317.10%,6,"$17,117,959",1,2025-10-14T11-57-48Z
"Yorktown Energy Partners X, L.P.",quiver,institutional_13f,4,+268.74%,3,"$182,134,522",1,2025-10-14T11-57-48Z
"Yorktown Energy Partners XI, L.P.",quiver,institutional_13f,5,+240.49%,3,"$308,766,024",1,2025-10-14T11-57-48Z
"TENOR CAPITAL MANAGEMENT Co., L.P.",quiver,institutional_13f,6,+233.32%,24,"$34,006,092",1,2025-10-14T11-57-48Z
272 Capital LP,quiver,institutional_13f,7,+219.49%,9,"$61,943,154",1,2025-10-14T11-57-48Z
"Qiming U.S. Ventures Management, LLC",quiver,institutional_13f,8,+204.55%,5,"$56,473,966",1,2025-10-14T11-57-48Z
Helix Partners Management LP,quiver,institutional_13f,9,+203.50%,9,"$167,168,943",1,2025-10-14T11-57-48Z
JOHNSON & JOHNSON,quiver,institutional_13f,10,+201.64%,16,"$521,777,376",1,2025-10-14T11-57-48Z
BIT Capital GmbH,quiver,institutional_13f,11,+185.38%,67,"$2,489,383,213",1,2025-10-14T11-57-48Z
"SABBY MANAGEMENT, LLC",quiver,institutional_13f,12,+162.68%,7,"$9,008,207",1,2025-10-14T11-57-48Z
Situational Awareness LP,quiver,institutional_13f,13,+159.95%,5,"$1,297,975,407",1,2025-10-14T11-57-48Z
Eschler Asset Management LLP,quiver,institutional_13f,14,+157.05%,41,"$188,745,339",1,2025-10-14T11-57-48Z
MMCAP International Inc. SPC,quiver,institutional_13f,15,+149.52%,16,"$437,285,929",1,2025-10-14T11-57-48Z
"Boxer Capital Management, LLC",quiver,institutional_13f,16,+134.43%,13,"$208,713,151",1,2025-10-14T11-57-48Z
SCOGGIN MANAGEMENT LP,quiver,institutional_13f,17,+132.97%,22,"$186,401,736",1,2025-10-14T11-57-48Z
"Vennlight Capital Management, LP",quiver,institutional_13f,18,+127.63%,13,"$112,414,566",1,2025-10-14T11-57-48Z
Amitell Capital Pte Ltd,quiver,institutional_13f,19,+119.76%,38,"$220,152,823",1,2025-10-14T11-57-48Z
"REDWOOD CAPITAL MANAGEMENT, LLC",quiver,institutional_13f,20,+117.07%,10,"$881,872,455",1,2025-10-14T11-57-48Z
"Goodlander Investment Management, LLC",quiver,institutional_13f,21,+116.98%,8,"$243,076,660",1,2025-10-14T11-57-48Z
Beryl Capital Management LLC,quiver,institutional_13f,22,+112.74%,11,"$125,963,266",1,2025-10-14T11-57-48Z
"UNICOM Systems, Inc.",quiver,institutional_13f,23,+112.05%,19,"$1,084,423,994",1,2025-10-14T11-57-48Z
"Samsara BioCapital, LLC",quiver,institutional_13f,24,+110.88%,25,"$794,522,091",1,2025-10-14T11-57-48Z
PLUSTICK MANAGEMENT LLC,quiver,institutional_13f,25,+107.15%,17,"$247,467,485",1,2025-10-14T11-57-48Z
"Enavate Sciences GP, LLC",quiver,institutional_13f,26,+101.79%,6,"$336,877,497",1,2025-10-14T11-57-48Z
Saturn V Capital Management LP,quiver,institutional_13f,27,+100.77%,19,"$322,726,214",1,2025-10-14T11-57-48Z
Diameter Capital Partners LP,quiver,institutional_13f,28,+100.76%,16,"$520,281,334",1,2025-10-14T11-57-48Z
"Value Aligned Research Advisors, LLC",quiver,institutional_13f,29,+97.86%,32,"$2,809,265,765",1,2025-10-14T11-57-48Z
"OCO Capital Partners, L.P.",quiver,institutional_13f,30,+96.57%,3,"$287,693,400",1,2025-10-14T11-57-48Z
Kite Lake Capital Management (UK) LLP,quiver,institutional_13f,31,+95.63%,6,"$96,677,641",1,2025-10-14T11-57-48Z
Arosa Capital Management LP,quiver,institutional_13f,32,+93.49%,26,"$124,844,124",1,2025-10-14T11-57-48Z
"Versant Venture Management, LLC",quiver,institutional_13f,33,+93.47%,5,"$102,872,677",1,2025-10-14T11-57-48Z
"Old West Investment Management, LLC",quiver,institutional_13f,34,+92.77%,58,"$379,948,839",1,2025-10-14T11-57-48Z
"72 Investment Holdings, LLC",quiver,institutional_13f,35,+90.22%,5,"$60,455,058",1,2025-10-14T11-57-48Z
Capricorn Investment Group LLC,quiver,institutional_13f,36,+88.10%,4,"$1,128,650,555",1,2025-10-14T11-57-48Z
"Bain Capital Life Sciences Investors, LLC",quiver,institutional_13f,37,+87.96%,21,"$1,366,165,205",1,2025-10-14T11-57-48Z
"ACUTA CAPITAL PARTNERS, LLC",quiver,institutional_13f,38,+87.44%,25,"$103,620,619",1,2025-10-14T11-57-48Z
"DISCOVERY CAPITAL MANAGEMENT, LLC | CT",quiver,institutional_13f,39,+87.16%,69,"$1,450,733,895",1,2025-10-14T11-57-48Z
"Arena Capital Advisors, LLC- CA",quiver,institutional_13f,40,+86.64%,11,"$5,328,115",1,2025-10-14T11-57-48Z
"Prospect Capital Advisors, LLC",quiver,institutional_13f,41,+84.87%,26,"$201,660,505",1,2025-10-14T11-57-48Z
FCPM III SERVICES B.V.,quiver,institutional_13f,42,+84.63%,5,"$552,278,699",1,2025-10-14T11-57-48Z
USCF Advisers LLC,quiver,institutional_13f,43,+83.06%,16,"$340,532",1,2025-10-14T11-57-48Z
"Pennant Select, LLC",quiver,institutional_13f,44,+82.57%,10,"$167,528,342",1,2025-10-14T11-57-48Z
Lynx1 Capital Management LP,quiver,institutional_13f,45,+81.16%,15,"$555,929,604",1,2025-10-14T11-57-48Z
TYBOURNE CAPITAL MANAGEMENT (HK) LTD,quiver,institutional_13f,46,+80.70%,4,"$33,097,339",1,2025-10-14T11-57-48Z
"BRIGHTLINE CAPITAL MANAGEMENT, LLC",quiver,institutional_13f,47,+79.33%,11,"$259,998,830",1,2025-10-14T11-57-48Z
Alphabet Inc.,quiver,institutional_13f,48,+78.65%,25,"$2,153,312,498",1,2025-10-14T11-57-48Z
NewGen Equity Long|Short Fund,quiver,institutional_13f,49,+78.21%,7,"$122,922,230",1,2025-10-14T11-57-48Z
NewGen Asset Management Ltd,quiver,institutional_13f,50,+78.21%,7,"$122,922,230",1,2025-10-14T11-57-48Z
MARATHON ASSET MANAGEMENT LP,quiver,institutional_13f,51,+76.83%,13,"$67,908,387",1,2025-10-14T11-57-48Z
"EcoR1 Capital, LLC",quiver,institutional_13f,52,+76.67%,25,"$2,184,237,284",1,2025-10-14T11-57-48Z
Two Seas Capital LP,quiver,institutional_13f,53,+75.47%,22,"$708,698,552",1,2025-10-14T11-57-48Z
Merk Investments LLC,quiver,institutional_13f,54,+75.41%,9,"$335,251,042",1,2025-10-14T11-57-48Z
PAULSON & CO. INC.,quiver,institutional_13f,55,+74.82%,11,"$1,909,278,410",1,2025-10-14T11-57-48Z
SECTORAL ASSET MANAGEMENT INC,quiver,institutional_13f,56,+74.51%,92,"$212,615,101",1,2025-10-14T11-57-48Z
Decheng Capital LLC,quiver,institutional_13f,57,+72.95%,18,"$262,846,073",1,2025-10-14T11-57-48Z
Equinox Partners Investment Management LLC,quiver,institutional_13f,58,+72.17%,4,"$171,012,785",1,2025-10-14T11-57-48Z
Octagon Capital Advisors LP,quiver,institutional_13f,59,+71.81%,25,"$743,785,333",1,2025-10-14T11-57-48Z
Hancock Prospecting Pty Ltd,quiver,institutional_13f,60,+71.12%,32,"$4,069,148,843",1,2025-10-14T11-57-48Z
"Ikarian Capital, LLC",quiver,institutional_13f,61,+70.94%,95,"$426,119,048",1,2025-10-14T11-57-48Z
GROUP ONE TRADING LLC,quiver,institutional_13f,62,+70.16%,1827,"$3,762,908,028",1,2025-10-14T11-57-48Z
"Vestal Point Capital, LP",quiver,institutional_13f,63,+69.72%,72,"$2,677,851,765",1,2025-10-14T11-57-48Z
STEMPOINT CAPITAL LP,quiver,institutional_13f,64,+69.69%,35,"$363,066,567",1,2025-10-14T11-57-48Z
STONEHILL CAPITAL MANAGEMENT LLC,quiver,institutional_13f,65,+69.43%,10,"$117,380,111",1,2025-10-14T11-57-48Z
"TCG Crossover Management, LLC",quiver,institutional_13f,66,+69.38%,20,"$695,126,055",1,2025-10-14T11-57-48Z
Halter Ferguson Financial Inc.,quiver,institutional_13f,67,+69.15%,26,"$373,256,434",1,2025-10-14T11-57-48Z
Skaana Management L.P.,quiver,institutional_13f,68,+68.92%,11,"$29,421,349",1,2025-10-14T11-57-48Z
Medicxi Ventures Management (Jersey) Ltd,quiver,institutional_13f,69,+68.76%,4,"$667,342,103",1,2025-10-14T11-57-48Z
MWG Management Ltd.,quiver,institutional_13f,70,+67.01%,3,"$84,650,033",1,2025-10-14T11-57-48Z
"Vivo Capital, LLC",quiver,institutional_13f,71,+66.75%,37,"$1,039,227,737",1,2025-10-14T11-57-48Z
venBio Partners LLC,quiver,institutional_13f,72,+66.57%,6,"$157,919,089",1,2025-10-14T11-57-48Z
Ally Bridge Group (NY) LLC,quiver,institutional_13f,73,+65.50%,19,"$133,751,565",1,2025-10-14T11-57-48Z
"NEA Management Company, LLC",quiver,institutional_13f,74,+65.09%,19,"$1,491,149,352",1,2025-10-14T11-57-48Z
"Darwin Global Management, Ltd.",quiver,institutional_13f,75,+64.93%,4,"$3,311,454,698",1,2025-10-14T11-57-48Z
AMH Equity Ltd,quiver,institutional_13f,76,+64.79%,36,"$73,230,598",1,2025-10-14T11-57-48Z
ATW SPAC MANAGEMENT LLC,quiver,institutional_13f,77,+64.52%,3,"$8,971",1,2025-10-14T11-57-48Z
SUPERSTRING CAPITAL MANAGEMENT LP,quiver,institutional_13f,78,+62.86%,28,"$101,239,779",1,2025-10-14T11-57-48Z
"TSP Capital Management Group, LLC",quiver,institutional_13f,79,+62.83%,43,"$410,028,614",1,2025-10-14T11-57-48Z
"THOMIST CAPITAL MANAGEMENT, LP",quiver,institutional_13f,80,+62.66%,31,"$260,871,390",1,2025-10-14T11-57-48Z
"ACORN CAPITAL ADVISORS, LLC",quiver,institutional_13f,81,+62.38%,19,"$203,480,412",1,2025-10-14T11-57-48Z
"Omega Fund Management, LLC",quiver,institutional_13f,82,+62.08%,4,"$54,909,946",1,2025-10-14T11-57-48Z
Silver Point Capital L.P.,quiver,institutional_13f,83,+61.69%,10,"$1,276,614,172",1,2025-10-14T11-57-48Z
Hood River Capital Management LLC,quiver,institutional_13f,84,+61.49%,121,"$7,740,088,088",1,2025-10-14T11-57-48Z
"Frazier Life Sciences Management, L.P.",quiver,institutional_13f,85,+61.32%,46,"$3,225,520,690",1,2025-10-14T11-57-48Z
AIGH Capital Management LLC,quiver,institutional_13f,86,+60.92%,14,"$152,542,823",1,2025-10-14T11-57-48Z
"Kopernik Global Investors, LLC",quiver,institutional_13f,87,+59.60%,19,"$1,007,104,051",1,2025-10-14T11-57-48Z
"Lisanti Capital Growth, LLC",quiver,institutional_13f,88,+59.40%,87,"$382,046,588",1,2025-10-14T11-57-48Z
BVF INC|IL,quiver,institutional_13f,89,+59.10%,41,"$3,027,535,711",1,2025-10-14T11-57-48Z
"22NW, LP",quiver,institutional_13f,90,+59.03%,18,"$171,414,170",1,2025-10-14T11-57-48Z
"Quaker Capital Investments, LLC",quiver,institutional_13f,91,+58.81%,14,"$403,295,660",1,2025-10-14T11-57-48Z
"SEGRA CAPITAL MANAGEMENT, LLC",quiver,institutional_13f,92,+58.40%,6,"$454,670,573",1,2025-10-14T11-57-48Z
"American Assets Investment Management, LLC",quiver,institutional_13f,93,+58.04%,130,"$1,441,363,542",1,2025-10-14T11-57-48Z
CLEARFIELD CAPITAL MANAGEMENT LP,quiver,institutional_13f,94,+57.91%,7,"$109,419,334",1,2025-10-14T11-57-48Z
Column Group LLC,quiver,institutional_13f,95,+57.64%,4,"$123,602,240",1,2025-10-14T11-57-48Z
CastleKnight Management LP,quiver,institutional_13f,96,+57.16%,285,"$1,508,249,473",1,2025-10-14T11-57-48Z
"Pennant Investors, LP",quiver,institutional_13f,97,+56.64%,15,"$418,260,415",1,2025-10-14T11-57-48Z
SailingStone Capital Partners LLC,quiver,institutional_13f,98,+56.24%,14,"$373,335,646",1,2025-10-14T11-57-48Z
FOURSIXTHREE CAPITAL LP,quiver,institutional_13f,99,+55.34%,11,"$216,979,202",1,2025-10-14T11-57-48Z
Paloma Partners Management Co,quiver,institutional_13f,100,+54.81%,65,"$258,211,149",1,2025-10-14T11-57-48Z
Turiya Advisors Asia Ltd,quiver,institutional_13f,101,+54.60%,3,"$292,305,627",1,2025-10-14T11-57-48Z
Commodore Capital LP,quiver,institutional_13f,102,+54.59%,31,"$1,967,107,480",1,2025-10-14T11-57-48Z
"Nantahala Capital Management, LLC",quiver,institutional_13f,103,+54.40%,118,"$1,735,243,081",1,2025-10-14T11-57-48Z
Fairmount Funds Management LLC,quiver,institutional_13f,104,+54.37%,16,"$980,587,937",1,2025-10-14T11-57-48Z
"Soviero Asset Management, LP",quiver,institutional_13f,105,+54.21%,41,"$136,501,183",1,2025-10-14T11-57-48Z
Hidden Lake Asset Management LP,quiver,institutional_13f,106,+54.06%,21,"$192,799,617",1,2025-10-14T11-57-48Z
Sara-Bay Financial,quiver,institutional_13f,107,+53.88%,69,"$344,677,299",1,2025-10-14T11-57-48Z
Avoro Capital Advisors LLC,quiver,institutional_13f,108,+53.73%,26,"$7,787,725,370",1,2025-10-14T11-57-48Z
"683 Capital Management, LLC",quiver,institutional_13f,109,+53.52%,69,"$896,651,639",1,2025-10-14T11-57-48Z
"Condire Management, LP",quiver,institutional_13f,110,+53.32%,20,"$760,255,417",1,2025-10-14T11-57-48Z
Caligan Partners LP,quiver,institutional_13f,111,+52.66%,11,"$434,184,199",1,2025-10-14T11-57-48Z
"Lumbard & Kellner, LLC",quiver,institutional_13f,112,+52.46%,79,"$262,937,526",1,2025-10-14T11-57-48Z
CloudAlpha Capital Management Limited|Hong Kong,quiver,institutional_13f,113,+52.25%,30,"$949,692,286",1,2025-10-14T11-57-48Z
"Goehring & Rozencwajg Associates, LLC",quiver,institutional_13f,114,+52.09%,34,"$690,594,360",1,2025-10-14T11-57-48Z
"Integral Health Asset Management, LLC",quiver,institutional_13f,115,+51.71%,59,"$1,198,025,100",1,2025-10-14T11-57-48Z
"Rosalind Advisors, Inc.",quiver,institutional_13f,116,+51.63%,23,"$179,045,940",1,2025-10-14T11-57-48Z
"Propel Bio Management, LLC",quiver,institutional_13f,117,+51.36%,9,"$72,796,756",1,2025-10-14T11-57-48Z
"GILEAD SCIENCES, INC.",quiver,institutional_13f,118,+51.21%,6,"$1,720,617,480",1,2025-10-14T11-57-48Z
"Azarias Capital Management, L.P.",quiver,institutional_13f,119,+50.99%,22,"$255,441,579",1,2025-10-14T11-57-48Z
SPROTT INC.,quiver,institutional_13f,120,+50.81%,145,"$1,989,955,499",1,2025-10-14T11-57-48Z
Greenvale Capital LLP,quiver,institutional_13f,121,+50.72%,13,"$1,028,723,734",1,2025-10-14T11-57-48Z
"SRN Advisors, LLC",quiver,institutional_13f,122,+50.57%,88,"$118,165,355",1,2025-10-14T11-57-48Z
"Redmile Group, LLC",quiver,institutional_13f,123,+50.47%,44,"$1,240,312,273",1,2025-10-14T11-57-48Z
Maple Rock Capital Partners Inc.,quiver,institutional_13f,124,+50.33%,36,"$2,283,745,860",1,2025-10-14T11-57-48Z
"DigitalBridge Group, Inc.",quiver,institutional_13f,125,+49.78%,36,"$1,045,113,408",1,2025-10-14T11-57-48Z
SPHERA FUNDS MANAGEMENT LTD.,quiver,institutional_13f,126,+49.77%,94,"$488,613,916",1,2025-10-14T11-57-48Z
"RTW INVESTMENTS, LP",quiver,institutional_13f,127,+49.59%,50,"$8,207,178,433",1,2025-10-14T11-57-48Z
WEXFORD CAPITAL LP,quiver,institutional_13f,128,+49.49%,219,"$381,685,590",1,2025-10-14T11-57-48Z
Lane Generational LLC,quiver,institutional_13f,129,+48.94%,26,"$96,563,743",1,2025-10-14T11-57-48Z
Laurion Capital Management LP,quiver,institutional_13f,130,+48.79%,232,"$695,495,945",1,2025-10-14T11-57-48Z
"Affinity Asset Advisors, LLC",quiver,institutional_13f,131,+48.61%,44,"$598,098,394",1,2025-10-14T11-57-48Z
Pale Fire Capital SE,quiver,institutional_13f,132,+48.53%,49,"$1,055,250,221",1,2025-10-14T11-57-48Z
"Sofinnova Investments, Inc.",quiver,institutional_13f,133,+48.43%,51,"$1,819,004,149",1,2025-10-14T11-57-48Z
"SILVERARC CAPITAL MANAGEMENT, LLC",quiver,institutional_13f,134,+48.34%,33,"$523,107,993",1,2025-10-14T11-57-48Z
"Knoll Capital Management, LLC",quiver,institutional_13f,135,+48.14%,30,"$183,976,413",1,2025-10-14T11-57-48Z
"Kynam Capital Management, LP",quiver,institutional_13f,136,+48.09%,26,"$1,156,843,369",1,2025-10-14T11-57-48Z
Paradigm Biocapital Advisors LP,quiver,institutional_13f,137,+47.93%,21,"$2,837,934,777",1,2025-10-14T11-57-48Z
"Soleus Capital Management, L.P.",quiver,institutional_13f,138,+47.64%,68,"$1,493,523,222",1,2025-10-14T11-57-48Z
"AWM Investment Company, Inc.",quiver,institutional_13f,139,+47.26%,75,"$995,025,994",1,2025-10-14T11-57-48Z
"ARCH Venture Management, LLC",quiver,institutional_13f,140,+47.25%,4,"$237,155,361",1,2025-10-14T11-57-48Z
GREAT POINT PARTNERS LLC,quiver,institutional_13f,141,+47.19%,23,"$318,225,039",1,2025-10-14T11-57-48Z
"REGENERON PHARMACEUTICALS, INC.",quiver,institutional_13f,142,+47.11%,3,"$2,155,376,006",1,2025-10-14T11-57-48Z
"Caitong International Asset Management Co., Ltd",quiver,institutional_13f,143,+47.00%,1589,"$155,030,956",1,2025-10-14T11-57-48Z
MPM BioImpact LLC,quiver,institutional_13f,144,+46.96%,43,"$730,925,362",1,2025-10-14T11-57-48Z
"VR Adviser, LLC",quiver,institutional_13f,145,+46.93%,12,"$707,140,876",1,2025-10-14T11-57-48Z
"Tiptree Advisors, LLC",quiver,institutional_13f,146,+46.73%,15,"$89,811,631",1,2025-10-14T11-57-48Z
