ticker,source,section,amount,page,scraped_at
GM  GENERAL MOTORS COMPANY,quiver,lobbying,"$11,380,000",1,2026-05-01T08-00-27Z
META  META PLATFORMS INC - ORDINARY SHARES - CLASS A,quiver,lobbying,"$7,080,000",1,2026-05-01T08-00-27Z
PFE  PFIZER INC.,quiver,lobbying,"$4,420,000",1,2026-05-01T08-00-27Z
AMZN  AMAZON.COM INC.,quiver,lobbying,"$4,380,000",1,2026-05-01T08-00-27Z
MRK  MERCK & CO INC,quiver,lobbying,"$4,150,000",1,2026-05-01T08-00-27Z
LMT  LOCKHEED MARTIN CORP.,quiver,lobbying,"$4,140,000",1,2026-05-01T08-00-27Z
LLY  LILLY(ELI) & CO,quiver,lobbying,"$3,770,000",1,2026-05-01T08-00-27Z
JNJ  JOHNSON & JOHNSON,quiver,lobbying,"$3,510,000",1,2026-05-01T08-00-27Z
CI  CIGNA GROUP (THE),quiver,lobbying,"$3,490,000",1,2026-05-01T08-00-27Z
XOM  EXXON MOBIL CORP.,quiver,lobbying,"$3,400,000",1,2026-05-01T08-00-27Z
VZ  VERIZON COMMUNICATIONS INC,quiver,lobbying,"$3,400,000",1,2026-05-01T08-00-27Z
GD  GENERAL DYNAMICS CORP.,quiver,lobbying,"$3,360,000",1,2026-05-01T08-00-27Z
CVS  CVS HEALTH CORP,quiver,lobbying,"$3,320,000",1,2026-05-01T08-00-27Z
WMT  WALMART INC,quiver,lobbying,"$3,290,000",1,2026-05-01T08-00-27Z
AMGN  AMGEN INC.,quiver,lobbying,"$3,215,000",1,2026-05-01T08-00-27Z
"T  AT&T, INC.",quiver,lobbying,"$3,200,000",1,2026-05-01T08-00-27Z
"GILD  GILEAD SCIENCES, INC.",quiver,lobbying,"$3,190,000",1,2026-05-01T08-00-27Z
CMCSA  COMCAST CORP - ORDINARY SHARES - CLASS A,quiver,lobbying,"$3,080,000",1,2026-05-01T08-00-27Z
FDX  FEDEX CORP,quiver,lobbying,"$3,060,000",1,2026-05-01T08-00-27Z
MO  ALTRIA GROUP INC.,quiver,lobbying,"$2,950,000",1,2026-05-01T08-00-27Z
GOOGL  ALPHABET INC - ORDINARY SHARES - CLASS A,quiver,lobbying,"$2,860,000",1,2026-05-01T08-00-27Z
HUM  HUMANA INC.,quiver,lobbying,"$2,730,000",1,2026-05-01T08-00-27Z
UNH  UNITEDHEALTH GROUP INC,quiver,lobbying,"$2,670,000",1,2026-05-01T08-00-27Z
TMUS  T-MOBILE US INC,quiver,lobbying,"$2,640,000",1,2026-05-01T08-00-27Z
TXT  TEXTRON INC.,quiver,lobbying,"$2,587,441",1,2026-05-01T08-00-27Z
SNY  SANOFI - ADR,quiver,lobbying,"$2,580,000",1,2026-05-01T08-00-27Z
V  VISA INC - ORDINARY SHARES - CLASS A,quiver,lobbying,"$2,570,000",1,2026-05-01T08-00-27Z
SO  SOUTHERN COMPANY,quiver,lobbying,"$2,510,000",1,2026-05-01T08-00-27Z
CHTR  CHARTER COMMUNICATIONS INC. - ORDINARY SHARES - CLASS A,quiver,lobbying,"$2,500,000",1,2026-05-01T08-00-27Z
AAPL  APPLE INC,quiver,lobbying,"$2,480,000",1,2026-05-01T08-00-27Z
OXY  OCCIDENTAL PETROLEUM CORP.,quiver,lobbying,"$2,460,000",1,2026-05-01T08-00-27Z
BA  BOEING CO.,quiver,lobbying,"$2,450,000",1,2026-05-01T08-00-27Z
AFL  AFLAC INC.,quiver,lobbying,"$2,400,000",1,2026-05-01T08-00-27Z
MSFT  MICROSOFT CORPORATION,quiver,lobbying,"$2,390,000",1,2026-05-01T08-00-27Z
AZN  ASTRAZENECA PLC - ADR,quiver,lobbying,"$2,280,000",1,2026-05-01T08-00-27Z
CEG  CONSTELLATION ENERGY CORPORATION,quiver,lobbying,"$2,240,000",1,2026-05-01T08-00-27Z
NEE  NEXTERA ENERGY INC,quiver,lobbying,"$2,145,000",1,2026-05-01T08-00-27Z
AMT  AMERICAN TOWER CORP.,quiver,lobbying,"$2,130,000",1,2026-05-01T08-00-27Z
ORCL  ORACLE CORP.,quiver,lobbying,"$2,120,000",1,2026-05-01T08-00-27Z
ABBV  ABBVIE INC,quiver,lobbying,"$2,080,000",1,2026-05-01T08-00-27Z
DUK  DUKE ENERGY CORP.,quiver,lobbying,"$2,050,000",1,2026-05-01T08-00-27Z
KO  COCA-COLA CO,quiver,lobbying,"$2,010,000",1,2026-05-01T08-00-27Z
PLTR  PALANTIR TECHNOLOGIES INC - ORDINARY SHARES - CLASS A,quiver,lobbying,"$1,980,000",1,2026-05-01T08-00-27Z
NOC  NORTHROP GRUMMAN CORP.,quiver,lobbying,"$1,960,000",1,2026-05-01T08-00-27Z
COP  CONOCO PHILLIPS,quiver,lobbying,"$1,950,000",1,2026-05-01T08-00-27Z
HON  HONEYWELL INTERNATIONAL INC,quiver,lobbying,"$1,930,000",1,2026-05-01T08-00-27Z
CVX  CHEVRON CORP.,quiver,lobbying,"$1,920,000",1,2026-05-01T08-00-27Z
"UPS  UNITED PARCEL SERVICE, INC. - ORDINARY SHARES - CLASS B",quiver,lobbying,"$1,910,000",1,2026-05-01T08-00-27Z
HCA  HCA HEALTHCARE INC,quiver,lobbying,"$1,810,000",1,2026-05-01T08-00-27Z
PEP  PEPSICO INC,quiver,lobbying,"$1,800,000",1,2026-05-01T08-00-27Z
ELV  ELEVANCE HEALTH INC,quiver,lobbying,"$1,720,000",1,2026-05-01T08-00-27Z
