trader_name,appearances,trade_date,ticker,patterns,risk_score,trade_price,price_movement
Qiu Wenbin,3,2026-04-29,BZUN,"Perfect Timing, Coordinated",1275,2.4700000286102295,+20.6%
Qiu Wenbin,3,2026-04-30,BZUN,"Perfect Timing, Coordinated",1912,2.4700000286102295,+20.6%
Qiu Wenbin,3,2026-05-01,BZUN,"Perfect Timing, Coordinated",2550,2.4700000286102295,+20.6%
Patel Mahesh V.,3,2026-04-29,LPCN,"Perfect Timing, Coordinated",1065,2.049999952316284,+24.9%
Patel Mahesh V.,3,2026-04-30,LPCN,"Perfect Timing, Coordinated",1597,2.049999952316284,+24.9%
Patel Mahesh V.,3,2026-05-01,LPCN,"Perfect Timing, Coordinated",1850,1.940000057220459,+18.6%
Huang Jack Jiajia,3,2026-04-29,COE,"Perfect Timing, Coordinated",1015,22.299999237060547,+18.2%
Huang Jack Jiajia,3,2026-04-30,COE,"Perfect Timing, Coordinated",1357,22.299999237060547,+18.2%
Huang Jack Jiajia,3,2026-05-01,COE,"Perfect Timing, Coordinated",1780,22.299999237060547,+18.2%
Patel Paresh,3,2026-04-29,XZO,"Perfect Timing, Coordinated",660,14.329999923706055,+17.2%
Patel Paresh,3,2026-04-30,XZO,"Perfect Timing, Coordinated",990,14.260000228881836,+15.1%
Patel Paresh,3,2026-05-01,XZO,"Perfect Timing, Coordinated",1320,14.329999923706055,+17.2%
Kidambi Tridivesh,3,2026-04-29,SST,"Perfect Timing, Coordinated",620,2.109999895095825,+72.5%
Kidambi Tridivesh,3,2026-04-30,SST,"Perfect Timing, Coordinated",930,2.109999895095825,+72.5%
Kidambi Tridivesh,3,2026-05-01,SST,"Perfect Timing, Coordinated",1240,2.109999895095825,+72.5%
Wu Junhua,3,2026-04-29,BZUN,"Perfect Timing, Coordinated",615,2.5199999809265137,+18.7%
Wu Junhua,3,2026-04-30,BZUN,"Perfect Timing, Coordinated",923,2.5199999809265137,+18.7%
Wu Junhua,3,2026-05-01,BZUN,"Perfect Timing, Coordinated",1231,2.5199999809265137,+18.7%
Hanson Theodore S.,3,2026-04-29,EFOR,Coordinated,700,,
Hanson Theodore S.,3,2026-04-30,EFOR,Coordinated,900,,
Hanson Theodore S.,3,2026-05-01,EFOR,Coordinated,1200,,
Perry Marie,3,2026-04-29,EFOR,Coordinated,700,,
Perry Marie,3,2026-04-30,EFOR,Coordinated,900,,
Perry Marie,3,2026-05-01,EFOR,Coordinated,1200,,
Ohsberg Ronald S.,1,2026-05-01,WASH,Coordinated,675,,
Bilotto Christopher J.,3,2026-04-29,SVC,Coordinated,590,,
Bilotto Christopher J.,3,2026-04-30,SVC,Coordinated,885,,
Bilotto Christopher J.,3,2026-05-01,SVC,Coordinated,610,,
